"Data" "Rs" "Tmax" "Tmin" "RHmax" "u2" "RHmin" "DiaJuliano" "N" "Qo" "n" "n.N" "Tmed" "esMax" "esMin" "esMed" "ea" "DPV" "Delta" "BOC" "BOL" "Rn" "ETP.Penman" "W" "ETP.Priestley"
"70" 1980-03-10 23.46 31.4 21.6 79.5 1.333333 79.5 70 12.0709125320006 38.9695749413349 8.49811811488738 0.704016211894374 26.5 4.6060171365562 2.58323082693494 3.59462398174557 2.85772606548773 0.736897916257842 0.211678056313386 18.0642 -0.550783114257863 17.5134168857421 5.56160361988827 0.748 6.7371612842752
"71" 1980-03-11 23.91 32.5 21.8 82.18 1 82.18 71 12.0638613658164 38.4522871310355 8.97091813457394 0.743619133422199 27.15 4.90205621621115 2.61504335174219 3.75854978397667 3.08877621247203 0.669773571504643 0.2202445235941 18.4107 -0.529681783261968 17.881018216738 5.64635771266491 0.7545 6.93834595432912
"72" 1980-03-12 24.67 32.7 25.2 82.57 0.95 82.57 72 12.0567974922826 37.2524713476363 9.94053879676271 0.824475886165085 28.95 4.95762056288681 3.21074718569599 4.0841838742914 3.37231062500241 0.711873249288991 0.236101098344278 18.9959 -0.524011608055807 18.4718883919442 5.92483291023392 0.7725 7.33861737399954
"73" 1980-03-13 23.38 32.6 21 84.37 0.82 84.37 73 12.0497223500608 36.4115206973992 9.44949985952782 0.78420892905305 26.8 4.9297703989763 2.48981333854248 3.70979186875939 3.1299513996723 0.579840469087093 0.217963963516739 18.0026 -0.542644071751729 17.4599559282483 5.45868688423457 0.751 6.74353383537315
"74" 1980-03-14 25.87 32.8 21.4 80.77 1.23 80.77 74 12.0426373684554 36.6455136013292 10.9817465264966 0.911905439855081 27.1 4.98560726601353 2.55175701516125 3.76868214058739 3.04396456495244 0.724717575634956 0.220921794387989 19.9199 -0.645627258960347 19.2742727410397 6.09693644510101 0.754 7.47401227546829
"75" 1980-03-15 20.6 32.4 22.2 83.78 1.29 83.78 75 12.0355439685343 37.7044889124501 7.13356425728782 0.592708088303928 27.3 4.87447745830983 2.67969686536044 3.77708716183514 3.16444362418548 0.612643537649659 0.221079911108146 15.862 -0.423099308210785 15.4389006917892 4.91088205520587 0.756 6.00264458896765
"76" 1980-03-16 21.55 32.8 22 85.32 1.79 85.32 76 12.028443564269 38.5985174565749 7.41701733743136 0.616623197989131 27.4 4.98560726601353 2.64719766525022 3.81640246563188 3.25615458367712 0.56024788195476 0.223212359989824 16.5935 -0.420802024953764 16.1726979750462 5.08384652998446 0.757 6.296262360228
"77" 1980-03-17 12.1 29.8 21.8 83.75 0.666667 83.75 77 12.0213375636923 38.4860883088612 1.54833193307899 0.128798640323966 25.8 4.20318345259372 2.61504335174219 3.40911340216796 2.85513247431566 0.553980927852293 0.201823487233023 9.317 -0.160764211299895 9.1562357887001 2.931548148094 0.741 3.4893106557052
"78" 1980-03-18 15.7 30 22.2 80.5 1.32 80.5 78 12.0142273700686 37.4274171686011 4.07230851288955 0.338957170315839 26.1 4.25179942092899 2.67969686536044 3.46574814314471 2.7899272552315 0.675820887913219 0.204709224022277 12.089 -0.310758296657093 11.7782417033429 3.87173715764442 0.744 4.50669179689052
"79" 1980-03-19 14.25 30.3 20.5 76.22 1.02 76.22 79 12.0071143830766 36.3282175832828 3.41619369861148 0.284514129675189 25.4 4.32564032058364 2.41423507783639 3.36993769921002 2.56856651433788 0.801371184872142 0.200112252522198 10.9725 -0.294756408129463 10.6777435918705 3.58490204306736 0.737 4.04716989970727
